state_id,state_name,sample_count,mean_rv,std_rv,median_rv
0,Empty 0Out,44647,-0.001633,0.387788,-0.189000
1,1B 0Out,9637,0.006802,0.388340,-0.165000
2,2B 0Out,3628,0.007806,0.376527,-0.192000
3,1B2B 0Out,2612,0.006304,0.381845,-0.194000
4,3B 0Out,397,0.022864,0.331919,-0.157000
5,1B3B 0Out,835,0.029628,0.382644,-0.206000
6,2B3B 0Out,666,0.023967,0.363168,-0.169000
7,Loaded 0Out,727,0.024851,0.351860,-0.203000
8,Empty 1Out,32652,0.000904,0.416128,-0.180000
9,1B 1Out,11803,0.006775,0.424630,-0.216000
10,2B 1Out,5065,0.014079,0.406045,-0.201000
11,1B2B 1Out,4435,0.005653,0.402416,-0.211000
12,3B 1Out,1586,0.026291,0.372579,-0.125000
13,1B3B 1Out,1848,0.028136,0.381570,-0.138000
14,2B3B 1Out,1542,0.038399,0.380850,-0.137000
15,Loaded 1Out,1549,0.019249,0.370956,-0.162000
16,Empty 2Out,26160,0.005738,0.527433,-0.182000
17,1B 2Out,11967,0.020582,0.514795,-0.183000
18,2B 2Out,6675,0.027433,0.466151,-0.208000
19,1B2B 2Out,5316,0.032549,0.472020,-0.191000
20,3B 2Out,2533,0.030769,0.443941,-0.192000
21,1B3B 2Out,2474,0.031510,0.464673,-0.194000
22,2B3B 2Out,1836,0.032960,0.460804,-0.211000
23,Loaded 2Out,1894,0.006616,0.397129,-0.203000
